title,info,author,narrator,release_date,publisher,listening_length,language,version,program_type,copyright,ratings,number_of_reviews
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You"," We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. Wouldn't it be wonderful if our money worked for us just as we work hard for it? What if we had a proven system to identify dud investment schemes? What if could just plug seamlessly into a simple, jargon-free plan to get more value out of our money, and have a super good life today? India's favourite financial planner, Monika Halan, offers you a feet-on-the-ground system to build financial security. Not a get-rich-quick guide, this book helps you build a smart system to live your dream life, rather than stay worried about the right investment or perfect insurance. Unlike many personal finance books, Let's Talk Money is written specifically for you, keeping the Indian context in mind. ",Monika Halan,Veena Fansalkar, 5 February 2020 ,Audible Studios, 5 hours and 56 minutes , English , Unabridged , Audiobook ,"©2018 Monika Halan (P)2020 Audible, Inc.",4.5 out of 5 stars,"3,697 ratings"
"Scion of Ikshvaku: Ram Chandra Series, Book 1"," Ram Rajya. The Perfect Land. But perfection has a price. He paid that price. 3400 BCE. India. Ayodhya is weakened by divisions. A terrible war has taken its toll. The damage runs deep. The demon King of Lanka, Raavan, does not impose his rule on the defeated. He instead imposes his trade. Money is sucked out of the empire. The Sapt Sindhu people descend into poverty, despondency and corruption. They cry for a leader to lead them out of the morass. Little do they appreciate that the leader is among them. One whom they know. A tortured and ostracised prince. A prince they tried to break. A prince called Ram. He loves his country, even when his countrymen torment him. He stands alone for the law. His band of brothers, his Sita, and he against the darkness of chaos. Will Ram rise above the taint that others heap on him? Will his love for Sita sustain him through his struggle? Will he defeat the demon Lord Raavan who destroyed his childhood? Will he fulfil the destiny of the Vishnu? Begin an epic journey with Amish's latest: the Ram Chandra Series.  ",Amish,Sagar Arya, 21 June 2017 ,Audible Studios, 11 hours and 35 minutes , English , Unabridged , Audiobook ,"©2015 Amish Tripathi (P)2017 Audible, Inc.",4.3 out of 5 stars,"20,712 ratings"
Mafia Queens of Mumbai," From victims to victims to victors, this collection of stories contains intricate details of 13 women who went on to leave their permanent mark on the face of the Mumbai Mafiosi. ",Jane Borges,Radhika Apte, 13 November 2018 ,Audible Studios, 6 hours and 52 minutes , English , Unabridged , Audiobook ,"©2011 S. Hussain Zaidi, Jane Borges (P)2018 Audible, Inc.",4.1 out of 5 stars,"1,424 ratings"
Godaan (Hindi Edition)," A living picture of the entire life of the Indian farmer - his aspiration and despair, his sincerity and religious piety, his helplessness and innocence.Please note: This audiobook is in Hindi. ",Munshi Premchand,Sameer Goswami, 26 February 2020 ,Kahani Suno, 16 hours and 17 minutes , Hindi , Original recording , Audiobook ,©2019 Sameer Goswami (P)2019 Sameer Goswami,4.5 out of 5 stars,"6,932 ratings"
The Vedas and Upanishads for Children," Three thousand years ago, deep inside the forests of India, a great 'thought- revolution' was brewing. In those forest labs, the brightest scientist-philosophers contemplated the universe and reflected upon the already-ancient texts called the Vedas, gaining some startling insights into questions that we still have no watertight answers to, like: What is the universe made of? How do I know I'm looking at a tree when I see one? Who am I? My body, my mind, my intelligence, my emotions, or NOTA? And where did they put those explosive findings? In a sprawling body of goose-bumpy, thought-provoking and fascinating oral literature called the Upanishads! Intimidated? Don't be! For this joyful, fun guide to some of India's most enduring and secular wisdoms, reinterpreted for first-time explorers by author Roopa Pai, is guaranteed to keep you listening. Why haven't you checked it out yet? PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Roopa Pai,Sharanya Gopinath, 9 September 2020 ,Audible Studios, 11 hours and 59 minutes , English , Unabridged , Audiobook ,"©2019 Text copyright; 2019, Roopa Pai; Illustrations copyright; 2019, Sayan Mukherjee; Illustration on page 55 (top) by Mistunee Chowdhury, 2019 (P)2020 Audible, Inc.",4.6 out of 5 stars,"1,471 ratings"
The Tatas: How a Family Built a Business and a Nation," Winner of the Gaja Capital Business Book Prize 2019The 19th century was an exciting time of initiative and enterprise around the world. If John D. Rockefeller was creating unimagined wealth in the United States that he would put to the service of the nation, a Parsi family with humble roots was doing the same in India. In 1822, a boy was born in a priestly household in Gujarat's Navsari village. Young Nusserwanji knew early on that his destiny lay beyond his village and decided to head for Bombay to start a business - the first in his family to do so. He had neither higher education nor knowledge of business matters, just a burning passion to carve a path of his own. What Nusserwanji started as a cotton trading venture, his son Jamsetji, born in the same year as Rockefeller, grew into a multifaceted business, turning around sick textile mills, setting up an iron and steel company, envisioning a cutting-edge institute of higher learning, building a world-class hotel, and earning himself the title of the 'Bhishma Pitamah of Indian Industry'. Stewarded ably over the decades by Jamsetji's sons, Dorabji and Ratanji, the charismatic and larger-than-life JRD, and thereafter the more businesslike Ratan, the Tata group today is a $110 billion empire. The Tatas is their story. But it is more than just a history of the industrial house; it is an inspiring account of India in the making. It chronicles how each generation of the family invested not only in the expansion of its own business interests but also in nation building. Few know, for instance, that the first hydel power project in the world was conceived of and built by the Tatas. Nor that some radical labour concepts such as eight-hour work shifts were born in India, at the Tata mill in Nagpur. The Tata Cancer Research Centre, the Indian Institute of Science, the Tata Institute of Fundamental Research, and the national carrier Air India - the family has a long, rich and unrivalled legacy. The Tatas is a tribute to a line of visionaries who have a special place in the hearts and minds of ordinary Indians. Written by seasoned journalist Girish Kuber, this is also the only book that tells the complete Tata story spanning almost 200 years. ",Girish Kuber,Rajiv Dadia, 17 March 2020 ,Audible Studios, 9 hours and 41 minutes , English , Unabridged , Audiobook ,"©2019 Girish Kuber and Vikrant Pande (P)2020 Audible, Inc.",4.7 out of 5 stars,739 ratings
The Story of My Experiments with Truth: An Autobiography," To mark the 150th anniversary of Gandhi's birth, DK presents the audiobook of The Story of My Experiments with Truth: An Autobiography, narrated by Sagar Arya.Gandhi's nonviolent struggles against racism, violence and colonialism in South Africa and India had brought him to such a level of notoriety and adulation that when asked to write an autobiography midway through his career, he took it as an opportunity to explain himself. He feared the enthusiasm for his ideas tended to exceed a deeper understanding of his quest for truth rooted in devotion to God. His attempts to get closer to this divine power led him to seek purity through simple living, dietary practices, celibacy and a life without violence. This is not a straightforward narrative biography. In The Story of My Experiments with Truth: An Autobiography, Gandhi offers his life story as a reference for those who would follow in his footsteps.A well-known Indian actor, Sagar Arya has narrated over 35 audiobooks, including White Teeth by Zadie Smith, Love Like Blood by Mark Billingham and audiobooks by Amish, and he brings his wealth of knowledge to this production. His television credits include A Touch of Frost, Hunted, Spooks, Casualty and Holby City. He appeared as Claudio in RSC's Much Ado About Nothing as well as Twelfth Night (West End), The Great Game (Tricycle)and A Fine Balance (Hampstead). ",M. K. Gandhi,Sagar Arya, 2 October 2019 ,DK Audio, 20 hours and 27 minutes , English , Unabridged , Audiobook ,©2019 M. K. Gandhi (P)2019 DK Audio,4.5 out of 5 stars,"1,332 ratings"
Asura: Tale of the Vanquished: The Story of Ravana and His People," The epic tale of victory and defeatThe story of the Ramayana had been told innumerable times. The enthralling story of Rama, the incarnation of God, who slew Ravana, the evil demon of darkness, is known to every Indian. And in the pages of history, as always, it is the version told by the victors that lives on. The voice of the vanquished remains lost in silence. But what if Ravana and his people had a different story to tell? The story of the Ravanayana had never been told. Asura is the epic tale of the vanquished Asura people, a story that has been cherished by the oppressed outcastes of India for 3,000 years. Until now, no Asura has dared to tell the tale. But perhaps the time has come for the dead and the defeated to speak. For thousands of years, I have been vilified and my death is celebrated year after year in every corner of India. Why? Was it because I challenged the gods for the sake of my daughter? Was it because I freed a race from the yoke of caste-based Deva rule? You have heard the victor's tale, the Ramayana. Now hear the Ravanayana, for I am Ravana, the Asura, and my story is the tale of the vanquished.I am a non-entity - invisible, powerless and negligible. No epics will ever be written about me. I have suffered both Ravana and Rama - the hero and the villain or the villain and the hero. When the stories of great men are told, my voice maybe too feeble to be heard. Yet, spare me a moment and hear my story, for I am Bhadra, the Asura, and my life is the tale of the loser.The ancient Asura empire lay shattered into many warring petty kingdoms reeling under the heel of the Devas. In desperation, the Asuras look up to a young saviour - Ravana. Believing that a better world awaits them under Ravana, common men like Bhadra decide to follow the young leader. With a will of iron and a fiery ambition to succeed, Ravana leads his people from victory to victory and carves out a vast empire from the Devas. But even when Ravana succeeds spectacularly, the poor Asuras find that nothing much has changed for them. It is when that Ravana, by one action, changes the history of the world. ",Anand Neelakantan,Denzil Smith, 3 September 2019 ,Audible Studios, 18 hours and 17 minutes , English , Unabridged , Audiobook ,"©2012 Anand Neelakantan (P)2019 Audible, Inc.",4.3 out of 5 stars,"4,102 ratings"
Great Stories for Children," Great Stories for Children is a potpourri of short stories that effectively transports the reader to the fascinating world of its endearing characters. The ensemble includes Tutu the monkey, who is fond of troubling the no-nonsense Aunt Ruby; a pet python who makes sudden appearances at the most unusual places; a troublesome Pret who enjoys stirring up the household he resides in; three young children stranded on the Haunted Hill; Himalayan bears who feast on pumpkins, plums and apricots; a crafty thief who has a change of heart; and Ruskin Bond himself, who meets a ghost at a resort in the middle of the night.  ",Ruskin Bond,Adnan Kapadia, 1 January 2017 ,Audible Studios, 4 hours and 28 minutes , English , Unabridged , Audiobook ,"©2011 Selection Copyright Ruskin Bond (P)2016 Audible, Inc.",4.5 out of 5 stars,"11,757 ratings"
Yayaati," The story of Yayati is perhaps one of the most intriguing and fascinating episodes of Mahabharata. Yayati was a great scholar and one of the noblest rulers of olden times. He followed the shastras and was devoted to the welfare of his subjects. Even the king of gods, Indra, held him in high esteem. Married to seductively beautiful Devyani, in love with her maid Sharmishtha, and father of five sons from two women, Yayati unabashedly declared, 'My lust for pleasure is unsatisfied'. His quest for the carnal continued, sparing not even his youngest son, and exchanging his old age for his son's youth.Please note: This audiobook is in Hindi. ",Vishnu Sakharam Khandekar,Sakshi Malhotra, 20 November 2018 ,Audible Studios, 19 hours and 22 minutes , Hindi , Unabridged , Audiobook ,"©2015 Vishnu Sakharam Khandekar (P)2018 Audible, Inc.",4.4 out of 5 stars,536 ratings
I Too Had a Love Story," Do love stories ever die? How would you react when a beautiful person comes into your life and then goes away from you...forever? Not all love stories are meant to have a perfect ending. I Too Had a Love Story is one such saga. It is the tender and heartfelt tale of Ravin and Khushi - two people who found each other on a matrimonial site and fell in love...until life put their love to the ultimate test. Romantic, emotional, and sincere, this heartbreaking true life story has already touched a million hearts. This best-selling novel is a must-hear for anyone who believes in the magic of love.... ",Ravinder Singh,Vaibhav Srivastava, 13 March 2019 ,Random House Audio, 6 hours and 28 minutes , English , Unabridged , Audiobook ,©2018 Ravinder Singh (P)2019 Random House Audio,4.4 out of 5 stars,"7,331 ratings"
The Sandman," Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. Hailed by the Los Angeles Times Magazine as “the greatest epic in the history of comic books”, The Sandman changed the game with its dark, literary world of fantasy and horror - creating a global, cultural phenomenon in the process. At long last, Audible and DC present the first-ever audio production of the New York Times best-selling series written by acclaimed storyteller Neil Gaiman (who also serves as co-executive producer). Adapted and directed by multi-award-winner (and frequent Gaiman collaborator) Dirk Maggs, and performed by an ensemble cast with James McAvoy (It, Parts One and Two, X-Men: First Class, Split) in the title role, this first installment of a multi-part original audio series will transport you to a world that re-writes the rules of audio entertainment the way that The Sandman originally re-defined the graphic novel. When The Sandman, also known as Lord Morpheus - the immortal king of dreams, stories and the imagination - is pulled from his realm and imprisoned on Earth by a nefarious cult, he languishes for decades before finally escaping. Once free, he must retrieve the three “tools” that will restore his power and help him to rebuild his dominion, which has deteriorated in his absence. As the multi-threaded story unspools, The Sandman descends into Hell to confront Lucifer (Michael Sheen), chases rogue nightmares who have escaped his realm, and crosses paths with an array of characters from DC comic books, ancient myths, and real-world history, including: Inmates of Gotham City's Arkham Asylum, Doctor Destiny, the muse Calliope, the three Fates, William Shakespeare (Arthur Darvill), and many more. A powerhouse supporting cast helps translate this masterwork into a sonic experience worthy of its legacy, including Riz Ahmed, Kat Dennings, Taron Egerton, Samantha Morton, Bebe Neuwirth, Andy Serkis, and more. Setting the stage for their performance is an unprecedented cinematic soundscape featuring an original musical score by British Academy Award winner James Hannigan. Fans will especially revel in a new twist for the audio adaptation: Neil Gaiman himself serves as the narrator. Follow him as he leads listeners along a winding path of myths, imagination and, often, terror. Even in your wildest dreams, you’ve never heard anything like this. ",Neil Gaiman,Neil Gaiman, 15 July 2020 ,Audible Originals, 11 hours and 2 minutes , English , Original recording , Audiobook ,©2020 DC. All Rights Reserved. The Sandman and all related elements are trademarks of DC Comics. (P)2020 DC Comics and Audible,4.8 out of 5 stars,318 ratings
How to Train Your Mind: Exploring the Productivity Benefits of Meditation," Meditation makes you more productive because it lets you earn back time. For each minute you spend meditating, you'll earn around nine minutes back, as Chris Bailey - author of The Productivity Project and Hyperfocus - will show in this candid and counter-intuitive guide to the productivity benefits of meditation. How to Train Your Mind digs deep into the practical, tactical benefits of a meditation practice - and how to integrate a meditation ritual into your own life. In addition to calming your mind and allowing you to slow down in an overanxious world, research shows that meditation can de-stimulate your mind so you can think more clearly, procrastinate less, and be more effective at everything you do - at work and at home. Featuring guided meditations designed to fit your busy, unpredictable schedule, How to Train Your Mind is the ideal guide for anyone looking to improve productivity without sacrificing time. While much has been written about the spiritual and intangible benefits of meditation, as far as our productivity is concerned, meditation is in a league all its own. ",Chris Bailey,Chris Bailey, 14 January 2021 ,Audible Originals, 3 hours and 18 minutes , English , Original recording , Audiobook ,"©2021 Chris Bailey (P)2021 Audible Originals, LLC.",4.8 out of 5 stars,3 ratings
The Coldest Case: A Black Book Audio Drama," Please note: This audio drama is for mature audiences only. It contains strong language, violence, and sexual content. Discretion is advised.  James Patterson's Detective Billy Harney is back, this time investigating murders in a notorious Chicago drug ring, which will lead him, his sister, and his new partner through a dangerous web of corrupt politicians, vengeful billionaires, and violent dark web conspiracies. In The Coldest Case: A Black Book Audio Drama, homicide detective Billy Harney sends his new partner, Kate, deep undercover in a notorious Chicago drug ring. When several members of the ring soon turn up dead, Billy abruptly pulls Kate out, blowing her cover. Kate’s informant inside the gang quickly disappears. As does the ring’s black book.... When Billy can’t find the informant, he wonders if Kate is secretly harboring her, since the two grew close during Kate's weeks undercover. As Billy and Kate investigate the ring’s murders, they’ll be pulled into a dangerous web of corrupt politicians, vengeful billionaires, drugged pro-athletes, and violent, dark web conspiracies, all in search of the missing black book.  ",James Patterson,Aaron Paul, 11 March 2021 ,Audible Originals, 3 hours and 52 minutes , English , Original recording , Audiobook ,"©2020 James Patterson, Friendly Heights, Inc., and Origin Story Entertainment, LLC (P)2020 Audible Originals, LLC.",3.6 out of 5 stars,10 ratings
Take Control of Your Life: How to Silence Fear and Win the Mental Game," Mel Robbins is back! The international bestselling phenomenon and creator of The Five Second Rule and Kick Ass with Mel Robbins returns to help you tackle the single biggest obstacle you face: fear. This life-changing Audible Original features a powerful mix of one-on-one life-coaching sessions and a personal narrative with vital take-aways that you can start using immediately. With humor and wisdom, Mel Robbins expertly tackles the fear of change, rejection, and being alone, as well as imposter syndrome and feeling trapped in the wrong career. Each session is a goldmine of discovery as Mel guides you to find your purpose, improve your relationships, and ultimately take control of your life. In these times of high anxiety, it’s easy to feel overwhelmed - that changes right now. If you want the tools to break free from fear and live to your fullest potential, this is a must-listen.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Mel Robbins,Mel Robbins, 7 February 2019 ,Audible Originals, 10 hours and 3 minutes , English , Unabridged , Audiobook ,"©2019 Mel Robbins (P)2019 Audible Originals, LLC.",4.3 out of 5 stars,31 ratings
The Jane Austen Collection: An Audible Original Drama," Sense and Sensibility - narrated by Gugu Mbatha-Raw.Austen introduces us to the Dashwood sisters who upon the death of their father are left with little money, status or their family home. Marianne wears her heart on her sleeve and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment.Directed by Celia de Wolff. Adapted by Anna Lea. With Bessie Carter, Anya Chalotra, Josh Dylan, Robert Glenister, Paterson Joseph, Emma Mackey, Hattie Morahan, Carl Prekopp, Blake Ritson, Lesley Sharp, Fenella Woolgar, Nicolas Armfield, Pippa Bennett-Warner, Lily Cooper and Tom Glenister.Pride and Prejudice - narrated by Claire Foy.Centred around the Bennet family, their five unmarried daughters and their mother’s desperation for at least one of them to make a wealthy match to save the family from destitution. When Charles Bingley moves into nearby Netherfield, it seems that Jane, the eldest, may have found her match, but it also introduces Elizabeth to Bingley’s friend, the aloof Mr Darcy.Directed by Nicolette Chin. Adapted by Sian Owen, script edited by Anna Lea. With Tarrick Benham, Nicole Davis, Barnaby Edwards, Billie Fulford-Brown, Rebecca Front, Emma Gregory, Ferdinand Kingsley, Chris Lew Kum Hoi, Tim McInnerny, Heather Nicol, Sarah Ovens, Janet Prince, Jenny Rainsford, Jennifer Saayeng, Sam Stafford, Katy Sobey, Homer Todiwala, Patience Tomlinson and Simon Yadoo.Mansfield Park - narrated by Billie Piper.Adopted into the household of her uncle, Sir Thomas Bertram, Fanny Price grows up a meek outsider among her cousins in the unaccustomed elegance of Mansfield Park. Soon after Sir Thomas leaves on business, Mary Crawford and her brother, Henry, arrive at Mansfield, bringing with them London glamour and the seductive taste for flirtation and theatre that precipitates a crisis.Directed by Tamsin Collison. Adapted by Catherine Dyson, script edited by Anna Lea. With Matt Addis, Lucy Briers, James Corrigan, Scarlett Courtney, Rosalind Eleazar, Jennifer English, Emma Fielding, Ash Hunter, Joel MacCormack, Harry Myers, Esme Scarborough, Lucy Scott, Bert Seymour and Natalie Simpson.Emma - narrated by Emma Thompson.Emma is perfectly content with her life and sees no need for either love or marriage; nothing delights her more than matchmaking her fellow residents of Highbury. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected.Directed by Katherine Thompson. Adapted by Anna Lea.Isabella Inchbald played Emma Woodhouse, and Joseph Millson played George Knightley.  With Alexa Davies, Joanne Froggatt, Adam Gillen, Rupert Holliday-Evans, Isabella Inchbald, Aisling Loftus, Anjella Mackintosh, Joseph Millson, Ukweli Roach, Morgana Robinson, Nicholas Rowe, Benjamin Wainwright, Eve Webster and Ria Zmitrowicz.Northanger Abbey - narrated by Emma Thompson.A coming-of-age tale for naïve 17-year-old Catherine Morland, Northanger Abbey takes a comical look at themes of class, family, love and literature. Revelling in the sensationalist - and extremely popular - Gothic fiction of the day, the story follows Catherine out of Bath to the lofty manor of the Tilneys, where her overactive imagination gets to work constructing an absurd and melodramatic explanation for the death of Mrs Tilney, which threatens to jeopardise her newly forged friendships. Directed by Katherine Thompson. Adapted by Anna Lea.With Douglas Booth, Robin Brown, Gunnar Cauthery, Anna Chancellor, Lily Cole, Beth Goddard, Nickolas Grace, Jeremy Irvine, Carla Mendonca, Ella Purnell, George Rainsford, Simon Shepherd, Emma Thompson, Eleanor Tomlinson, Lorraine Ansell, Naomi Felton, Bethan Rose Young as Anne Thorpe and Joanna Ruiz.Persuasion - narrated by Florence Pugh.Anne Elliot, daughter of the snobbish Sir Walter, is woman of quiet charm and deep feelings. Eight years before our story begins, she is happily betrothed to naval officer Frederick Wentworth, but she breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret.Directed by Emma Hearn. Adapted by Anna Lea. With Annabel Baldwin, Michael Fox, Julian Wadham, Laure Stockley, Lizzie Stables, Oscar Batterham, Ewan Bailey, Samantha Béart, Andrew Wheildon-Dennis, Al Weaver, Tom Andrew, Molly Harris, Martha Mackintosh, Vineeta Rishi, Isabel Adomakoh Young and Sophie Aldred. ",Jane Austen,Claire Foy, 5 November 2020 ,Audible Originals, 45 hours , English , Unabridged , Audiobook ,"Public Domain (P)2020 Audible, Ltd",Previous page,
Love Is Not Enough," Best-selling author Mark Manson brings his signature no-nonsense wisdom back to the subject he started his career covering: relationships. Being with your partner may feel like rainbows and unicorns, but that doesn't mean you have a healthy, functioning relationship. Sure, we all need love...but love is not enough. In Love Is Not Enough, Mark’s first Audible Original, you’ll follow five real people over the course of six months as they navigate f--ked up romantic situations, ranging from dating app addiction to marital affairs to absurd fantasies. At regular intervals, they check in with Mark, share their stories, and soak up some advice. As you listen to these candid, funny, and moving conversations, you’ll learn how to stand up for yourself when you feel the most vulnerable. You'll learn how our imaginations derail intimacy, how our deepest desires can lead us into trouble. You'll learn how to open yourself up, and you'll develop the courage to say and hear that necessary word, ""no."" You'll learn how to love. And you'll learn that love is not enough. ",Mark Manson,Mark Manson, 26 March 2020 ,Audible Originals, 7 hours and 33 minutes , English , Original recording , Audiobook ,"©2019 Audible Originals, LLC (P)2020 Audible Originals, LLC.",Previous page,
"We Are Legion (We Are Bob): Bobiverse, Book 1"," There's a reason We Are Legion (We Are Bob) was named Audible's Best Science Fiction Book of 2016: Its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: Spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of death. Then he gets himself killed crossing the street. Waking up 117 years later, Bob discovers his mind has been uploaded into a sentient space probe with the ability to replicate itself. Bob and his clones are on a mission to find new homes for humanity and boldly go where no Bob has gone before. Dennis E. Taylor’s hilarious novel sets the stage for the magnificent performance of Ray Porter, who revels in the brave new world of corpsicles, artificial intelligence, interstellar space probes, and space colonization in tantalizing detail. We Are Legion (We Are Bob) is the first installment in the blockbuster Audible Original Bobiverse series - which has sold more than one million copies. ",Dennis E. Taylor,Ray Porter, 20 September 2016 ,Audible Originals, 9 hours and 56 minutes , English , Unabridged , Audiobook ,"©2016 Dennis E. Taylor (P)2016 Audible, Inc.",4.5 out of 5 stars,"22,642 ratings"
The Psychology of Happiness," Despite being discussed, questioned, philosophized about, and sought after since the days of Aristotle, the pathways to happiness are not always clear...but there is one. In order to find it, you need a solid foundation for understanding what really makes us - as humans - happy. And that’s exactly what you will gain by learning what science has to say about the big questions of happiness and thriving.Throughout 10 lectures, Professor Jaime Kurtz will outline the physical and emotional benefits that a boost in happiness can bring you. Professor Kurtz will invite you to access those benefits with a range of science-based strategies that you can choose from - strategies that will help you create more happiness in your everyday life. As you examine the effect of both the tools and challenges to being happy, including mindfulness, exercise, nature, social media, money, and more, you’ll gain practical knowledge - useful things that you can start practicing in your life, immediately. You’ll also take away a deep understanding and appreciation of what is gained when we take an elusive concept such as happiness and examine it through the lens of science.There’s no one-size-fits-all approach when it comes to boosting your happiness - it depends heavily on genetics among other factors, but by learning some new behaviors and actions that you can intentionally choose for yourself, you’ll find you are able to make real, lasting changes in both your daily life and in your overall levels of happiness. ",Jaime Kurtz,Jaime Kurtz, 19 January 2021 ,Audible Originals, 4 hours and 48 minutes , English , Original recording , Audiobook ,"©2020 Audible Originals, LLC (P)2021 Audible Originals, LLC.",Previous page,
Heads Will Roll," ABOUT THIS AUDIBLE ORIGINAL Please note: This content is not for kids. It is for mature audiences only. This audio comedy features sexual content, adult language and themes, and violence against peasants and hobgoblins alike. Discretion is advised.Heads Will Roll is an Audible Original from Saturday Night Live star Kate McKinnon and her cocreator/costar (and real-life sister) Emily Lynne. Produced by Broadway Video, this is not an audiobook - it’s a 10-episode, star-studded audio comedy that features performances from Meryl Streep, Tim Gunn, Peter Dinklage, Queer Eye’s Fab Five, and so many more. Queen Mortuana of the Night Realm (McKinnon) and her ditsy raven minion JoJo (Lynne) receive a prophecy about a peasant uprising. Together, they must journey to find the “Shard of Acquiescence”, which will put down the rebellion and save the throne. Will their friendship survive sensitive generals, chatty sex slaves, whiny behemoths, princes with bird fetishes, and the notion of democracy? This raunchy satire also includes the wicked talents of Andrea Martin, Carol Kane, Audra McDonald, Aidy Bryant, Alex Moffat, Heidi Gardner, Chris Redd, Steve Higgins, Bob the Drag Queen, Esther Perel, and more. So, hold on to your head, and let the bad times roll.  ",Kate McKinnon,Kate McKinnon, 2 May 2019 ,Audible Originals, 4 hours and 6 minutes , English , Original recording , Audiobook ,"©2019 The Broadway Video Group, LLC. (P)2019 The Broadway Video Group, LLC.",Previous page,
The Decision: Overcoming Today's BS for Tomorrow's Success," ""Are you ready to get your mind right and prepare for the battle of your life?"" Superstar stand-up. Blockbuster actor. Celebrity-powerhouse. Kevin Hart is about to add one more significant title to his already impressive resume: Your life coach. Yes, you. In this follow-up to the New York Times best-selling memoir, I Can't Make This Up, Kevin goes all-in on getting you mentally fit by skillfully breaking down and sharing the same tools and rules he's developed to elevate his own life, to inspire and help transform yours. Candid, raw, and authentic to the core, The Decision is filled with vision and the practical steps you’ll need to track and reach your goals. Join “Coach” Kevin as he puts you through the paces of what he dubs the Kevin Hart Mental Fitness Bootcamp. Learn the ins and outs of ""What-is-ness."" Find out what “Cowboying up"" is all about. Get cozy with ""Teddy bearing."" Discover why your comfort zone is just about the worst place on earth to be. Find out how to keep your b%llsh#t detector running smoothly, and just why your ugly-ass feet are nothing short of a blessing in disguise. Hear this, and an entire treasure trove of deeply insightful life-changing advice from the only dude out there who can make you cry like a baby from both laughter and self-reflection at the same time. The time to power-up those earbuds and get after the life of your dreams is now. Kevin Hart is hyped and ready. Are you? ",Kevin Hart,Kevin Hart, 21 May 2020 ,Audible Originals, 5 hours and 54 minutes , English , Original recording , Audiobook ,"©2019 Kevin Hart (P)2020 Audible Originals, LLC.",4.7 out of 5 stars,5 ratings
The Fool Who Thought Too Much," It’s tough to be a buffoon when the Age of Reason is trying to downsize your job. When the King’s Fool dies unexpectedly, a professional buffoon tries to move up the ranks and grab the top slot. But the politics involved in becoming a court jester are no laughing matter. The rules of becoming the top fool are simple: The winner is the one who performs the most outrageous act. Our buffoon and his fellows struggle for supremacy in a profession that is heading for extinction. Ishmael Reed is a playwright, poet, and author of such groundbreaking novels as Mumbo Jumbo and Reckless Eyeballing as well as the best-selling Audible Original Malcolm and Me. Now the acclaimed writer returns to the form that introduced him to reading when he was a child: fairy tales.  ",Ishmael Reed,Adam Lazarre-White, 5 November 2020 ,Audible Originals, 1 hour and 22 minutes , English , Original recording , Audiobook ,"©2020 Ishmael Reed (P)2020 Audible Originals, LLC.",Previous page,
Half Light," From Tayari Jones, author of the New York Times best seller and Oprah’s Book Club pick An American Marriage, comes an intimate, powerful story of two sisters.   Identical twins Amelia and Camelia Hall were born with the same face, and that’s about it: By the time the girls were through school, the matching set of names could no longer contain them. Now there’s Cam, whose contrarian streak led her to a career in law, and Lia, who followed more closely in her parents’ footsteps with her dermatology practice and married-with-children lifestyle in Atlanta’s Glenwood Park.   But the bond between the sisters is deep and unshakable - Cam serves as the maid of honor on Lia’s wedding day and as her attorney 15 years later, when Lia’s life and the lives of her two teenage daughters are rocked by divorce. And two years after her separation, the dust is finally starting to settle. But in the hazy glow of their first years of marriage, Lia gifted her then-husband a precious, irreplaceable family heirloom, and she decides that now, she must do whatever she can to get it back, starting with breaking and entering.   In Half Light, Jones explores the complex, profound bond of family, both the family we’re born with and the family we choose, against the vibrant backdrop of present-day Atlanta.    ",Tayari Jones,Bahni Turpin, 31 August 2020 ,Audible Originals, 1 hour and 20 minutes , English , Original recording , Audiobook ,"©2020 Tayari Jones (P)2020 Audible Originals, LLC.",Previous page,
